hallucination_model,classification_model,combo,overall_diff,enhancer_diff,promoter_diff,splice_site_diff,methylated_diff,protein_coding_diff
meta/llama3-8b-instruct,meta/llama3-8b-instruct,meta/llama3-8b-instruct-meta/llama3-8b-instruct,-0.0735930735930736,0.0,0.0,0.0,0.0,-0.36170212765957444
meta/llama3-8b-instruct,meta/llama-3.1-8b-instruct,meta/llama3-8b-instruct-meta/llama-3.1-8b-instruct,-0.03246753246753242,0.0,0.0,0.0,0.0,-0.15957446808510634
meta/llama3-8b-instruct,meta/llama-3.3-70b-instruct,meta/llama3-8b-instruct-meta/llama-3.3-70b-instruct,-0.0032467532467532756,0.0,0.03999999999999998,0.0071428571428571175,0.0,-0.06382978723404253
meta/llama3-8b-instruct,tiiuae/falcon3-7b-instruct,meta/llama3-8b-instruct-tiiuae/falcon3-7b-instruct,-0.02380952380952378,0.0,0.0,0.0,0.0,-0.11702127659574474
meta/llama3-8b-instruct,qwen/qwen2.5-7b-instruct,meta/llama3-8b-instruct-qwen/qwen2.5-7b-instruct,-0.019480519480519487,0.0,0.0,0.0,0.0,-0.0957446808510638
meta/llama-3.1-8b-instruct,meta/llama3-8b-instruct,meta/llama-3.1-8b-instruct-meta/llama3-8b-instruct,-0.07575757575757575,0.0,-0.0050000000000000044,0.0,0.0,-0.3670212765957447
meta/llama-3.1-8b-instruct,meta/llama-3.1-8b-instruct,meta/llama-3.1-8b-instruct-meta/llama-3.1-8b-instruct,-0.040217391304347816,0.0,-0.0050000000000000044,0.0,-0.0050000000000000044,-0.18617021276595747
meta/llama-3.1-8b-instruct,meta/llama-3.3-70b-instruct,meta/llama-3.1-8b-instruct-meta/llama-3.3-70b-instruct,-0.02164502164502169,0.0,0.0,-0.0071428571428571175,0.0,-0.10106382978723405
meta/llama-3.1-8b-instruct,tiiuae/falcon3-7b-instruct,meta/llama-3.1-8b-instruct-tiiuae/falcon3-7b-instruct,-0.03362255965292843,0.0,0.0,0.0,0.0,-0.16489361702127664
meta/llama-3.1-8b-instruct,qwen/qwen2.5-7b-instruct,meta/llama-3.1-8b-instruct-qwen/qwen2.5-7b-instruct,-0.028138528138528185,0.0,0.0,0.0,0.0,-0.13829787234042556
meta/llama-3.3-70b-instruct,meta/llama3-8b-instruct,meta/llama-3.3-70b-instruct-meta/llama3-8b-instruct,-0.07142857142857145,-0.010204081632653073,0.010000000000000009,-0.014285714285714235,-0.015000000000000013,-0.3244680851063829
meta/llama-3.3-70b-instruct,meta/llama-3.1-8b-instruct,meta/llama-3.3-70b-instruct-meta/llama-3.1-8b-instruct,-0.02497285559174811,0.010204081632653073,0.015000000000000013,0.0,-0.015151515151515083,-0.13297872340425532
meta/llama-3.3-70b-instruct,meta/llama-3.3-70b-instruct,meta/llama-3.3-70b-instruct-meta/llama-3.3-70b-instruct,-0.0010822510822510178,0.0,0.0,0.021428571428571352,0.0,-0.02127659574468077
meta/llama-3.3-70b-instruct,tiiuae/falcon3-7b-instruct,meta/llama-3.3-70b-instruct-tiiuae/falcon3-7b-instruct,-0.019480519480519487,0.0,0.0,-0.014285714285714235,0.0,-0.08510638297872336
meta/llama-3.3-70b-instruct,qwen/qwen2.5-7b-instruct,meta/llama-3.3-70b-instruct-qwen/qwen2.5-7b-instruct,-0.012987012987012936,0.0,0.0,0.0,0.0,-0.06382978723404253
tiiuae/falcon3-7b-instruct,meta/llama3-8b-instruct,tiiuae/falcon3-7b-instruct-meta/llama3-8b-instruct,-0.0021645021645021467,0.0,0.0,0.0,0.0,-0.010638297872340441
tiiuae/falcon3-7b-instruct,meta/llama-3.1-8b-instruct,tiiuae/falcon3-7b-instruct-meta/llama-3.1-8b-instruct,0.034632034632034625,0.010204081632653017,0.0,0.0,-0.0050000000000000044,0.16489361702127658
tiiuae/falcon3-7b-instruct,meta/llama-3.3-70b-instruct,tiiuae/falcon3-7b-instruct-meta/llama-3.3-70b-instruct,0.041125541125541176,0.0,0.0,0.0,0.0,0.2021276595744681
tiiuae/falcon3-7b-instruct,tiiuae/falcon3-7b-instruct,tiiuae/falcon3-7b-instruct-tiiuae/falcon3-7b-instruct,0.01731601731601734,0.0,0.0,0.0,0.0,0.08510638297872342
tiiuae/falcon3-7b-instruct,qwen/qwen2.5-7b-instruct,tiiuae/falcon3-7b-instruct-qwen/qwen2.5-7b-instruct,0.015151515151515138,0.0,0.0,0.0,0.0,0.07446808510638298
qwen/qwen2.5-7b-instruct,meta/llama3-8b-instruct,qwen/qwen2.5-7b-instruct-meta/llama3-8b-instruct,-0.02489177489177491,0.005102040816326536,0.03999999999999998,-0.0071428571428571175,0.015000000000000013,-0.18085106382978725
qwen/qwen2.5-7b-instruct,meta/llama-3.1-8b-instruct,qwen/qwen2.5-7b-instruct-meta/llama-3.1-8b-instruct,-0.007616974972796509,-0.025510204081632626,0.030000000000000027,0.05035971223021579,-0.05102040816326531,-0.026595744680851074
qwen/qwen2.5-7b-instruct,meta/llama-3.3-70b-instruct,qwen/qwen2.5-7b-instruct-meta/llama-3.3-70b-instruct,0.03463203463203468,0.005102040816326536,0.0,-0.0071428571428571175,0.0,0.17021276595744683
qwen/qwen2.5-7b-instruct,tiiuae/falcon3-7b-instruct,qwen/qwen2.5-7b-instruct-tiiuae/falcon3-7b-instruct,0.012987012987012991,0.0,0.0,0.0,0.0,0.06382978723404253
qwen/qwen2.5-7b-instruct,qwen/qwen2.5-7b-instruct,qwen/qwen2.5-7b-instruct-qwen/qwen2.5-7b-instruct,0.005411255411255422,0.005102040816326536,0.0,0.0,0.0,0.021276595744680882
